date,time_bst,day_of_week,session,city,aqi,aqi_category,pm25_ugm3,pm10_ugm3,who_pm25_status,main_pollutant,temperature_c,humidity_pct,wind_speed_ms,wind_direction
2026-03-13,21:41,Friday,Night,Dhaka,141,Unhealthy for Sensitive Groups,,,,p2,25,83,1.11,120
2026-03-13,22:50,Friday,Night,Dhaka,156,Unhealthy,,,,p2,25,83,1.11,140
2026-03-14,10:11,Saturday,Morning,Dhaka,99,Moderate,,,,p2,26,79,1.67,170
2026-03-14,16:36,Saturday,Afternoon,Dhaka,133,Unhealthy for Sensitive Groups,,,,p2,30,59,1.67,180
2026-03-14,22:39,Saturday,Night,Dhaka,127,Unhealthy for Sensitive Groups,,,,p2,25,83,1.67,150
2026-03-15,10:33,Sunday,Morning,Dhaka,94,Moderate,,,,p2,27,70,1.67,170
2026-03-15,16:39,Sunday,Afternoon,Dhaka,103,Unhealthy for Sensitive Groups,,,,p2,29,62,1.67,160
2026-03-15,22:40,Sunday,Night,Dhaka,86,Moderate,,,,p2,23,83,1.11,120
2026-03-16,10:40,Monday,Morning,Dhaka,137,Unhealthy for Sensitive Groups,,,,p2,25,74,1.11,150
2026-03-16,17:02,Monday,Afternoon,Dhaka,120,Unhealthy for Sensitive Groups,,,,p2,29,58,1.67,200
2026-03-16,23:10,Monday,Night,Dhaka,105,Unhealthy for Sensitive Groups,,,,p2,23,83,1.67,170
2026-03-17,10:20,Tuesday,Morning,Dhaka,126,Unhealthy for Sensitive Groups,,,,p2,26,70,1.11,170
2026-03-17,16:58,Tuesday,Afternoon,Dhaka,82,Moderate,,,,p2,30,55,1.11,200
2026-03-17,23:10,Tuesday,Night,Dhaka,84,Moderate,,,,p2,24,78,1.11,160
2026-03-18,10:25,Wednesday,Morning,Dhaka,99,Moderate,,,,p2,27,74,1.11,170
2026-03-18,16:58,Wednesday,Afternoon,Dhaka,94,Moderate,,,,p2,30,55,1.67,180
2026-03-18,23:10,Wednesday,Night,Dhaka,90,Moderate,,,,p2,24,83,1.11,180
2026-03-19,10:24,Thursday,Morning,Dhaka,74,Moderate,,,,p2,28,66,1.11,100
2026-03-19,16:52,Thursday,Afternoon,Dhaka,80,Moderate,,,,p2,30,55,1.11,190
2026-03-19,23:03,Thursday,Night,Dhaka,164,Unhealthy,,,,p2,24,78,1.11,180
2026-03-20,10:15,Friday,Morning,Dhaka,145,Unhealthy for Sensitive Groups,,,,p2,26,70,1.11,80
2026-03-20,16:49,Friday,Afternoon,Dhaka,112,Unhealthy for Sensitive Groups,,,,p2,29,58,1.11,160
2026-03-20,22:53,Friday,Night,Dhaka,127,Unhealthy for Sensitive Groups,,,,p2,24,78,1.11,190
2026-03-21,10:06,Saturday,Morning,Dhaka,105,Unhealthy for Sensitive Groups,,,,p2,24,74,0.56,60
2026-03-21,16:36,Saturday,Afternoon,Dhaka,139,Unhealthy for Sensitive Groups,,,,p2,26,58,1.11,20
2026-03-21,22:37,Saturday,Night,Dhaka,130,Unhealthy for Sensitive Groups,,,,p2,21,83,1.11,320
2026-03-22,10:21,Sunday,Morning,Dhaka,151,Unhealthy,,,,p2,25,61,1.11,300
2026-03-22,16:36,Sunday,Afternoon,Dhaka,90,Moderate,,,,p2,28,42,1.11,260
2026-03-22,22:38,Sunday,Night,Dhaka,155,Unhealthy,,,,p2,23,69,0.56,330
2026-03-23,10:29,Monday,Morning,Dhaka,188,Unhealthy,,,,p2,27,48,0.56,270
2026-03-23,17:00,Monday,Afternoon,Dhaka,154,Unhealthy,,,,p2,29,40,1.11,250
2026-03-23,23:00,Monday,Night,Dhaka,184,Unhealthy,,,,p2,24,65,0.0,0
2026-03-24,10:20,Tuesday,Morning,Dhaka,153,Unhealthy,,,,p2,27,58,0.56,300
2026-03-24,16:59,Tuesday,Afternoon,Dhaka,145,Unhealthy for Sensitive Groups,,,,p2,30,43,1.11,220
2026-03-24,23:07,Tuesday,Night,Dhaka,151,Unhealthy,,,,p2,25,65,0.56,190
2026-03-25,10:22,Wednesday,Morning,Dhaka,169,Unhealthy,,,,p2,28,62,1.11,210
2026-03-25,16:56,Wednesday,Afternoon,Dhaka,162,Unhealthy,,,,p2,31,52,1.11,210
2026-03-25,23:11,Wednesday,Night,Dhaka,153,Unhealthy,,,,p2,26,74,1.11,160
2026-03-26,10:33,Thursday,Morning,Dhaka,162,Unhealthy,,,,p2,29,58,0.56,20
2026-03-26,17:01,Thursday,Afternoon,Dhaka,155,Unhealthy,,,,p2,32,41,1.11,240
2026-03-26,23:11,Thursday,Night,Dhaka,190,Unhealthy,,,,p2,26,70,0.0,0
2026-03-27,10:34,Friday,Morning,Dhaka,158,Unhealthy,,,,p2,30,55,1.11,210
2026-03-27,16:56,Friday,Afternoon,Dhaka,157,Unhealthy,,,,p2,33,41,1.67,210
2026-03-27,23:01,Friday,Night,Dhaka,170,Unhealthy,,,,p2,27,66,1.11,160
2026-03-28,10:23,Saturday,Morning,Dhaka,108,Unhealthy for Sensitive Groups,,,,p2,27,62,1.11,70
2026-03-28,16:40,Saturday,Afternoon,Dhaka,77,Moderate,,,,p2,28,58,1.67,120
2026-03-28,22:41,Saturday,Night,Dhaka,155,Unhealthy,,,,p2,23,83,1.67,90
2026-03-29,10:37,Sunday,Morning,Dhaka,160,Unhealthy,,,,p2,27,70,1.11,120
2026-03-29,16:43,Sunday,Afternoon,Dhaka,152,Unhealthy,,,,p2,30,55,1.11,160
2026-03-29,22:42,Sunday,Night,Dhaka,169,Unhealthy,,,,p2,25,79,1.11,130
2026-03-30,10:45,Monday,Morning,Dhaka,139,Unhealthy for Sensitive Groups,,,,p2,28,70,1.11,190
2026-03-30,17:10,Monday,Afternoon,Dhaka,153,Unhealthy,,,,p2,31,63,1.11,170
2026-03-30,23:03,Monday,Night,Dhaka,151,Unhealthy,,,,p2,26,79,1.11,220
2026-03-31,10:36,Tuesday,Morning,Dhaka,157,Unhealthy,,,,p2,28,70,1.11,120
2026-03-31,17:03,Tuesday,Afternoon,Dhaka,138,Unhealthy for Sensitive Groups,,,,p2,29,70,1.11,150
2026-03-31,23:06,Tuesday,Night,Dhaka,137,Unhealthy for Sensitive Groups,,,,p2,25,83,1.11,220
2026-04-01,10:47,Wednesday,Morning,Dhaka,128,Unhealthy for Sensitive Groups,,,,p2,29,66,1.11,190
2026-04-01,17:06,Wednesday,Afternoon,Dhaka,153,Unhealthy,,,,p2,32,56,1.11,200
2026-04-01,23:03,Wednesday,Night,Dhaka,95,Moderate,,,,p2,28,74,1.11,180
2026-04-02,10:30,Thursday,Morning,Dhaka,151,Unhealthy,,,,p2,30,66,1.11,200
2026-04-02,17:00,Thursday,Afternoon,Dhaka,119,Unhealthy for Sensitive Groups,,,N/A,p2,34,50,1.11,200
